Timestamp,Category,Viewers,Tags,Image_URL
2025-02-24 12:03:02,Getting Over It with Bennett Foddy,10000,"Platformer, Simulation",https://static-cdn.jtvnw.net/ttv-boxart/499463_IGDB-285x380.jpg
2025-02-24 14:47:41,Just Chatting,283000,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509658-285x380.jpg
2025-02-24 14:47:41,Dota 2,167000,"Strategy, MOBA, Action",https://static-cdn.jtvnw.net/ttv-boxart/29595-285x380.jpg
2025-02-24 14:47:41,League of Legends,162000,"RPG, Strategy, MOBA",https://static-cdn.jtvnw.net/ttv-boxart/21779-285x380.jpg
2025-02-24 14:47:42,VALORANT,135000,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/516575-285x380.jpg
2025-02-24 14:47:42,Counter-Strike,113000,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/32399-285x380.jpg
2025-02-24 14:47:42,Grand Theft Auto V,67300,"FPS, Shooter",https://static-cdn.jtvnw.net/ttv-boxart/32982_IGDB-285x380.jpg
2025-02-24 14:47:42,Teamfight Tactics,62300,"Strategy, Card & Board Game",https://static-cdn.jtvnw.net/ttv-boxart/513143-285x380.jpg
2025-02-24 14:47:42,Fortnite,49300,"Shooter, RPG, Simulation",https://static-cdn.jtvnw.net/ttv-boxart/33214-285x380.jpg
2025-02-24 14:47:42,IRL,46100,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509672-285x380.jpg
2025-02-24 14:47:42,Overwatch 2,44600,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/515025-285x380.jpg
2025-02-24 14:47:42,World of Warcraft,43300,"RPG, Adventure Game",https://static-cdn.jtvnw.net/ttv-boxart/18122-285x380.jpg
2025-02-24 14:47:42,Minecraft,37700,"Simulation, Adventure Game",https://static-cdn.jtvnw.net/ttv-boxart/27471_IGDB-285x380.jpg
2025-02-24 14:47:43,Marvel Rivals,35300,"Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/1264310518_IGDB-285x380.jpg
2025-02-24 14:47:43,I'm Only Sleeping,33300,Point and Click,https://static-cdn.jtvnw.net/ttv-boxart/498592_IGDB-285x380.jpg
2025-02-24 14:47:43,Street Fighter 6,27200,"Fighting, Arcade, Action",https://static-cdn.jtvnw.net/ttv-boxart/55453844_IGDB-285x380.jpg
2025-02-24 14:47:43,Apex Legends,27100,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/511224-285x380.jpg
2025-02-24 14:47:43,Kings League,26100,No Tags,https://static-cdn.jtvnw.net/ttv-boxart/1863222988-285x380.jpg
2025-02-24 14:47:43,Path of Exile,22900,"RPG, Action",https://static-cdn.jtvnw.net/ttv-boxart/29307_IGDB-285x380.jpg
2025-02-24 14:47:43,Call of Duty: Warzone,22500,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/512710-285x380.jpg
2025-02-24 14:47:43,Hearthstone,22200,"Strategy, Card & Board Game",https://static-cdn.jtvnw.net/ttv-boxart/138585-285x380.jpg
2025-02-24 14:47:43,Like a Dragon: Pirate Yakuza in Hawaii,21300,"RPG, Action",https://static-cdn.jtvnw.net/ttv-boxart/1993079020_IGDB-285x380.jpg
2025-02-24 14:47:44,Dead by Daylight,19200,"Strategy, Action, Horror",https://static-cdn.jtvnw.net/ttv-boxart/491487-285x380.jpg
2025-02-24 14:47:44,EA Sports FC 25,17900,"Simulation, Sports Game",https://static-cdn.jtvnw.net/ttv-boxart/2011938005_IGDB-285x380.jpg
2025-02-24 14:47:44,Escape from Tarkov,16200,"FPS, Shooter, RPG",https://static-cdn.jtvnw.net/ttv-boxart/491931_IGDB-285x380.jpg
2025-02-24 14:47:44,Clubhouse Games: 51 Worldwide Classics,15900,"Arcade, Card & Board Game",https://static-cdn.jtvnw.net/ttv-boxart/516867_IGDB-285x380.jpg
2025-02-24 14:47:44,Sports,15800,IRL,https://static-cdn.jtvnw.net/ttv-boxart/518203-285x380.jpg
2025-02-24 14:47:44,Kingdom Come: Deliverance II,16100,"RPG, Simulation",https://static-cdn.jtvnw.net/ttv-boxart/344035090_IGDB-285x380.jpg
2025-02-24 14:47:44,Rust,14700,"FPS, Shooter, RPG",https://static-cdn.jtvnw.net/ttv-boxart/263490_IGDB-285x380.jpg
2025-02-24 14:47:44,DayZ,12600,"FPS, Shooter, RPG",https://static-cdn.jtvnw.net/ttv-boxart/65632_IGDB-285x380.jpg
2025-02-24 14:47:44,Avowed,12600,"RPG, Adventure Game",https://static-cdn.jtvnw.net/ttv-boxart/518876_IGDB-285x380.jpg
2025-02-24 15:15:55,Just Chatting,306000,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509658-285x380.jpg
2025-02-24 15:15:55,League of Legends,171000,"RPG, Strategy, MOBA",https://static-cdn.jtvnw.net/ttv-boxart/21779-285x380.jpg
2025-02-24 15:15:55,Dota 2,149000,"Strategy, MOBA, Action",https://static-cdn.jtvnw.net/ttv-boxart/29595-285x380.jpg
2025-02-24 15:15:55,VALORANT,134000,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/516575-285x380.jpg
2025-02-24 15:15:56,Counter-Strike,116000,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/32399-285x380.jpg
2025-02-24 15:15:56,Grand Theft Auto V,73800,"FPS, Shooter",https://static-cdn.jtvnw.net/ttv-boxart/32982_IGDB-285x380.jpg
2025-02-24 15:15:56,Teamfight Tactics,61100,"Strategy, Card & Board Game",https://static-cdn.jtvnw.net/ttv-boxart/513143-285x380.jpg
2025-02-24 15:15:56,Fortnite,58900,"Shooter, RPG, Simulation",https://static-cdn.jtvnw.net/ttv-boxart/33214-285x380.jpg
2025-02-24 15:15:56,IRL,49100,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509672-285x380.jpg
2025-02-24 15:15:56,Overwatch 2,46500,"FPS, Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/515025-285x380.jpg
2025-02-24 15:15:56,Minecraft,44400,"Simulation, Adventure Game",https://static-cdn.jtvnw.net/ttv-boxart/27471_IGDB-285x380.jpg
2025-02-24 15:15:56,World of Warcraft,41800,"RPG, Adventure Game",https://static-cdn.jtvnw.net/ttv-boxart/18122-285x380.jpg
2025-02-24 15:15:56,Marvel Rivals,37600,"Shooter, Action",https://static-cdn.jtvnw.net/ttv-boxart/1264310518_IGDB-285x380.jpg
